participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;{'A': 4, 'B': 1, 'C': 2, 'D': 0};{'A': 4, 'B': 1, 'C': 2, 'D': 0};20;0;290;1;2021-12-11 00:08:12.828925+00:00;Y;2;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;{'A': 1, 'B': 5, 'C': 3, 'D': 0};{'A': 1, 'B': 5, 'C': 3, 'D': 0};50;50;-40;1;2021-12-11 00:08:12.828925+00:00;Y;2;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;{'A': 3, 'B': 2, 'C': 2, 'D': 0};{'A': 3, 'B': 2, 'C': 2, 'D': 0};130;0;280;1;2021-12-11 00:12:13.816086+00:00;Y;3;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;{'A': 4, 'B': 1, 'C': 2, 'D': 0};{'A': 4, 'B': 1, 'C': 1, 'D': 0};305;0;575;1;2021-12-11 00:12:13.816086+00:00;Y;3;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;{'A': 2, 'B': 2, 'C': 1, 'D': 0};{'A': 2, 'B': 2, 'C': 1, 'D': 0};240;240;270;1;2021-12-11 00:12:13.816086+00:00;Y;3;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;{'A': 0, 'B': 1, 'C': 3, 'D': 0};{'A': 0, 'B': 0, 'C': 1, 'D': 0};445;445;235;1;2021-12-11 00:12:13.816086+00:00;Y;3;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;{'A': 0, 'B': 0, 'C': 0, 'D': 1};{'A': 0, 'B': 0, 'C': 0, 'D': 1};410;360;320;1;2021-12-11 00:12:13.816086+00:00;Y;3;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;{'A': 0, 'B': 4, 'C': 1, 'D': 0};{'A': 0, 'B': 4, 'C': 1, 'D': 0};235;0;25;1;2021-12-11 00:12:13.816086+00:00;Y;3;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;{'A': 0, 'B': 1, 'C': 0, 'D': 1};{'A': 0, 'B': 1, 'C': 0, 'D': 1};240;240;150;1;2021-12-11 00:12:13.816086+00:00;Y;3;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;{'A': 2, 'B': 3, 'C': 3, 'D': 0};{'A': 2, 'B': 3, 'C': 2, 'D': 0};90;90;120;1;2021-12-11 00:12:13.816086+00:00;Y;3;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;{'A': 5, 'B': 1, 'C': 1, 'D': 0};{'A': 5, 'B': 1, 'C': 1, 'D': 0};35;35;425;1;2021-12-11 00:12:13.816086+00:00;Y;3;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;{'A': 2, 'B': 3, 'C': 4, 'D': 0};{'A': 2, 'B': 3, 'C': 4, 'D': 0};30;30;60;1;2021-12-11 00:12:13.816086+00:00;Y;3;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;{'A': 3, 'B': 1, 'C': 1, 'D': 0};{'A': 3, 'B': 1, 'C': 1, 'D': 0};210;0;540;1;2021-12-11 00:17:13.270863+00:00;Z;4;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;{'A': 1, 'B': 1, 'C': 3, 'D': 0};{'A': 0, 'B': 0, 'C': 2, 'D': 0};385;205;655;1;2021-12-11 00:17:13.270863+00:00;Z;4;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;{'A': 2, 'B': 2, 'C': 1, 'D': 0};{'A': 2, 'B': 1, 'C': 0, 'D': 0};235;60;535;1;2021-12-11 00:17:13.270863+00:00;Z;4;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;{'A': 0, 'B': 2, 'C': 2, 'D': 0};{'A': 0, 'B': 1, 'C': 0, 'D': 0};420;360;570;1;2021-12-11 00:17:13.270863+00:00;Z;4;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;{'A': 2, 'B': 2, 'C': 2, 'D': 0};{'A': 1, 'B': 2, 'C': 2, 'D': 0};180;180;570;1;2021-12-11 00:17:13.270863+00:00;Z;4;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;{'A': 3, 'B': 2, 'C': 2, 'D': 0};{'A': 3, 'B': 2, 'C': 2, 'D': 0};140;0;650;1;2021-12-11 00:17:13.270863+00:00;Z;4;8p70emi4;;;;;0
